,k,SIL,DBI,CH
0,2,0.40999043420916537,0.8929561805036719,4248.397644554083
1,3,0.4166637547753571,0.6420660299030917,16774.706496009752
2,4,0.3327964921615575,0.7745873500557217,16735.05398458672
3,5,0.2741430994588806,0.9423496950740301,15414.755371581487
4,6,0.22529162637730896,1.1214716270046812,13782.93693346275
5,7,0.21853658336372553,1.2036996714263755,12329.707839583458
6,8,0.19489057038210264,1.2325051868430936,11377.065272974225
7,9,0.18906397655016594,1.292716291550955,10533.36703539422
8,10,0.18253559267667138,1.3760987724158915,9804.86131806725
